,station,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,id,latitude,longitude
0,00FAY,2023-07-19,16.6,13.7,83.0,0.0,,321.0,28.4,,1013.9,,3.0,00FAY,53.19,-112.25
1,00TG6,2023-07-19,16.9,14.5,86.0,0.2,,314.0,13.0,,1014.8,,7.0,00TG6,54.72,-113.29
2,01001,2023-07-19,4.2,3.8,97.0,0.0,,326.0,51.8,,1011.1,,7.0,01001,70.9333,-8.6667
3,01002,2023-07-19,2.5,2.1,97.0,0.0,,328.0,12.2,16.9,1013.2,,3.0,01002,79.7833,14.4667
4,01003,2023-07-19,6.1,5.2,94.0,0.0,,234.0,6.5,10.8,1010.0,,3.0,01003,77.0,15.5
5,01006,2023-07-19,3.6,3.2,97.0,0.0,,349.0,25.6,39.2,1009.2,,3.0,01006,78.2333,22.7833
6,01007,2023-07-19,8.6,4.0,73.0,0.0,,86.0,2.5,6.5,1010.8,,3.0,01007,78.9167,11.9333
7,01008,2023-07-19,8.0,4.9,81.0,0.0,0.0,0.0,0.0,12.0,1011.1,,2.0,01008,78.25,15.4667
8,01015,2023-07-19,10.7,10.1,96.0,0.0,,316.0,10.8,13.7,1003.3,,3.0,01015,69.6,17.8333
9,01016,2023-07-19,11.8,10.9,94.0,0.0,,322.0,0.4,1.4,1003.3,,3.0,01016,69.2833,17.7667
10,01024,2023-07-19,6.9,3.5,79.0,0.0,,353.0,47.2,66.6,1009.6,,3.0,01024,78.6556,16.3603
11,01025,2023-07-19,11.0,9.1,88.0,0.0,,70.0,11.2,17.0,1003.5,,4.0,01025,69.6833,18.9167
12,01026,2023-07-19,10.1,9.5,96.0,0.0,,39.0,7.6,6.1,1003.5,,3.0,01026,69.65,18.9333
13,01027,2023-07-19,11.0,9.1,88.0,0.0,,116.0,2.5,4.3,1003.1,,3.0,01027,69.6522,18.9056
14,01028,2023-07-19,2.6,1.3,91.0,0.0,0.0,41.0,21.0,30.0,1010.1,,4.0,01028,74.5167,19.0167
15,01033,2023-07-19,9.7,8.8,94.0,0.0,,11.0,9.4,13.0,1003.3,,3.0,01033,70.25,19.5
16,01037,2023-07-19,11.8,11.8,100.0,0.0,,304.0,7.6,14.8,1002.8,,5.0,01037,69.3861,20.2594
17,01045,2023-07-19,11.6,11.6,100.0,0.0,,332.0,18.0,22.3,1002.5,,3.0,01045,69.8333,21.8833
18,01046,2023-07-19,11.0,9.1,88.0,0.0,,280.0,9.4,19.1,1003.0,,3.0,01046,69.7833,20.9667
19,01047,2023-07-19,10.7,8.3,85.0,0.0,,336.0,16.6,29.2,1001.1,,3.0,01047,69.0,23.0333
20,01049,2023-07-19,13.0,9.1,77.0,0.0,,10.0,20.5,27.0,1001.9,,4.0,01049,69.9833,23.3667
21,01055,2023-07-19,8.7,7.3,91.0,0.0,,38.0,23.4,31.0,1002.3,,3.0,01055,71.1,24.0
22,01057,2023-07-19,10.9,8.8,87.0,0.0,,333.0,16.2,28.4,1000.5,,3.0,01057,69.3667,24.4333
23,01058,2023-07-19,9.2,8.4,95.0,0.0,,346.0,18.7,32.0,1001.4,,3.0,01058,69.5794,23.5344
24,01059,2023-07-19,11.0,10.1,94.0,0.2,,10.0,18.4,25.9,1001.0,,4.0,01059,70.0667,24.9833
